id;nome;id_estado_fk;;;
;Vila Progresso;29;;;
;Parque Santa Amélia;29;;;
;Vila São José;29;;;
;Jardim São Luis;29;;;
;Vila Sergio;29;;;
;Jardim Silva Teles;29;;;
;Jardim Silvia;29;;;
;Vila Simone;29;;;
;Jardim Tua;29;;;
;Vila Valdemar;29;;;
;Jardim Virginia;29;;;
;ITAQUERA;29;;;
;Conjunto Habitacional A.E. Carvalho;29;;;
;Cidade A.E.Carvalho;29;;;
;Jardim Adelaide;29;;;
;Conjunto Habitacional Águia De Haia;29;;;
;Conjunto Araucária;29;;;
;Jardim Aurora;29;;;
;Vila Bozzini;29;;;
;Vila Brasil;29;;;
;Vila Campanela;29;;;
;Vila Carmosina;29;;;
;Jardim Cleide;29;;;
;Vila Corberi;29;;;
;Vila Danúbio Azul;29;;;
;Conjunto Esmeralda;29;;;
;Parque Guarani;29;;;
;Conjunto Habitacional Hospital Itaquera;29;;;
;Jardim Irene;29;;;
;Jardim Itapemirim;29;;;
;Itaquera;29;;;
;Jardim Liderança;29;;;
;Bairro do Limoeiro;29;;;
;Jardim Morganti;29;;;
;Vila Naufal;29;;;
;Jardim Norma;29;;;
;Parada Quinze;29;;;
;Vila Raquel;29;;;
;Jardim Redil;29;;;
;Vila Regina;29;;;
;Jardim Ruth;29;;;
;Vila Santana;29;;;
;Jardim São Joao;29;;;
;Parque Sevilha;29;;;
;Vila Suíça;29;;;
;Vila Taquari;29;;;
;Vila Verde;29;;;
;JARDIM HELENA;29;;;
;Vila Aimoré;29;;;
;Jardim Célia;29;;;
;Jardim Helena;29;;;
;Vila Itaim;29;;;
;Jardim Maia;29;;;
;Jardim Noêmia;29;;;
;Parque Paulistano;29;;;
;Vila Piracicaba;29;;;
;Parque Real;29;;;
;Jardim Romano;29;;;
;Jardim Santa Margarida;29;;;
;Jardim Santo Elias;29;;;
;Jardim São Martinho;29;;;
;Vila Seabra;29;;;
;Vila Vitoria;29;;;
;JOSÉ BONIFÁCIO;29;;;
;Fazenda Caguaçu;29;;;
;Fazenda do Carmo;29;;;
;Jardim Cibele;29;;;
;Vila Gil;29;;;
;Jardim Helena;29;;;
;Conjunto Habitacional Itaquera 4;29;;;
;Jardim Ivete;29;;;
;Jardim Jordão;29;;;
;Conjunto Habitacional José Bonifácio;29;;;
;Jardim Maria Lídia;29;;;
;Jardim Morganti;29;;;
;Jardim Pedra Branca;29;;;
;Vila Santa Terezinha;29;;;
;Jardim São Benedito;29;;;
;Jardim São Luis;29;;;
;Jardim São Pedro;29;;;
;LAJEADO;29;;;
;Vila Andes;29;;;
;Jardim Aurora;29;;;
;Conjunto Habitacional Baltazar;29;;;
;Jardim Brigida;29;;;
;Jardim do Campo;29;;;
;Jardim Centenário;29;;;
;Vila Chabilândia;29;;;
;Jardim Etelvina;29;;;
;Jardim Gianetti;29;;;
;Jardim Guaianases;29;;;
;Vila Iolanda;29;;;
;Jardim Irene;29;;;
;Lageado;29;;;
